"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","So much happening with the now discredited Witch Hunt. This total Hoax will be studied for years!",FALSE,1623,NA,2018-11-29 04:39:03,FALSE,NA,"1068001369746022400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",546,FALSE,FALSE,NA,NA
"2","Sebastian Gorka, a very talented man who I got to know well while he was working at the White House, has just writt… https://t.co/k93daZQXr8",FALSE,3867,NA,2018-11-29 04:36:07,TRUE,NA,"1068000629409398784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",1041,FALSE,FALSE,NA,NA
"3","On behalf of @FLOTUS Melania and the entire Trump family, I want to wish you all a very MERRY CHRISTMAS! May this C… https://t.co/XWu0u6NyjB",FALSE,75985,NA,2018-11-28 23:32:11,TRUE,NA,"1067924142316494848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18231,FALSE,FALSE,NA,NA
"4","Steel Dynamics announced that it will build a brand new 3 million ton steel mill in the Southwest that will create… https://t.co/ZF3IDNpDUE",FALSE,91198,NA,2018-11-28 16:09:47,TRUE,NA,"1067812811068383232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22329,FALSE,FALSE,NA,NA
"5",".....and G.M. would not be closing their plants in Ohio, Michigan &amp; Maryland. Get smart Congress. Also, the countri… https://t.co/6bASKPcvH1",FALSE,61115,NA,2018-11-28 14:49:31,TRUE,NA,"1067792610180456448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15134,FALSE,FALSE,NA,NA
"6","The reason that the small truck business in the U.S. is such a go to favorite is that, for many years, Tariffs of 2… https://t.co/XtFBz2Po4U",FALSE,57835,NA,2018-11-28 14:43:31,TRUE,NA,"1067791101782831104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14639,FALSE,FALSE,NA,NA
"7","While the disgusting Fake News is doing everything within their power not to report it that way, at least 3 major p… https://t.co/LdwHVTnoWn",FALSE,80475,NA,2018-11-28 13:39:38,TRUE,NA,"1067775022331236352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24052,FALSE,FALSE,NA,NA
"8","Congratulations to Senator Cindy Hyde-Smith on your big WIN in the Great State of Mississippi. We are all very proud of you!",FALSE,100616,NA,2018-11-28 03:42:08,FALSE,NA,"1067624656943935493",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20665,FALSE,FALSE,NA,NA
"9","Brenda Snipes, in charge of voting in Broward County, Florida, was just spotted wearing a beautiful dress with 300… https://t.co/gPIS4u4r7Q",FALSE,87821,NA,2018-11-28 03:38:48,TRUE,NA,"1067623816921272325",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18737,FALSE,FALSE,NA,NA
"10","The Mueller Witch Hunt is a total disgrace. They are looking at supposedly stolen Crooked Hillary Clinton Emails (e… https://t.co/Hd4mV8lxv2",FALSE,103565,NA,2018-11-28 00:31:37,TRUE,NA,"1067576713859817472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",29283,FALSE,FALSE,NA,NA
"11","....for electric cars. General Motors made a big China bet years ago when they built plants there (and in Mexico) -… https://t.co/0U7lwZ3pfy",FALSE,103731,"realDonaldTrump",2018-11-27 19:05:39,TRUE,"1067494680416407552","1067494682249318402","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23904,FALSE,FALSE,NA,NA
"12","Very disappointed with General Motors and their CEO, Mary Barra, for closing plants in Ohio, Michigan and Maryland.… https://t.co/5JUbkq1Xkg",FALSE,118628,NA,2018-11-27 19:05:39,TRUE,NA,"1067494680416407552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",29914,FALSE,FALSE,NA,NA
"13","Polls are open in Mississippi. We need Cindy Hyde-Smith in Washington. GO OUT AND VOTE. Thanks!",FALSE,67146,NA,2018-11-27 13:32:57,FALSE,NA,"1067410952042283010",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17076,FALSE,FALSE,NA,NA
"14","....terrible Gang of Angry Democrats. Look at their past, and look where they come from. The now $30,000,000 Witch… https://t.co/g3rup9iqga",FALSE,100567,NA,2018-11-27 13:07:23,TRUE,NA,"1067404517841518593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",27905,FALSE,FALSE,NA,NA
"15","....The Fake News Media builds Bob Mueller up as a Saint, when in actuality he is the exact opposite. He is doing T… https://t.co/kpN479HQns",FALSE,90339,NA,2018-11-27 12:42:58,TRUE,NA,"1067398375337791488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24198,FALSE,FALSE,NA,NA
"16","The Phony Witch Hunt continues, but Mueller and his gang of Angry Dems are only looking at one side, not the other.… https://t.co/zfYQKl1a2I",FALSE,89724,NA,2018-11-27 12:30:37,TRUE,NA,"1067395266511347713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24995,FALSE,FALSE,NA,NA
"17","....starts today, election is on December 4th. @VoteBradRaff is tough on Crime and Borders, Loves our Military and… https://t.co/Zt8B8PBRN5",FALSE,38380,"realDonaldTrump",2018-11-26 20:20:59,TRUE,"1067151248040824833","1067151249668214793","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",9732,FALSE,FALSE,NA,NA
"18","Brad Raffensperger will be a fantastic Secretary of State for Georgia - will work closely with @BrianKempGA. It is… https://t.co/h7aOpxnTuw",FALSE,48117,NA,2018-11-26 20:20:58,TRUE,NA,"1067151248040824833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12133,FALSE,FALSE,NA,NA
"19","....and false way. Something has to be done, including the possibility of the United States starting our own Worldw… https://t.co/hIFQy1Snku",FALSE,79969,"realDonaldTrump",2018-11-26 19:47:29,TRUE,"1067142819008122885","1067142820388052993","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19551,FALSE,FALSE,NA,NA
"20","While CNN doesn’t do great in the United States based on ratings, outside of the U.S. they have very little competi… https://t.co/mQBNuDHedg",FALSE,80673,NA,2018-11-26 19:47:29,TRUE,NA,"1067142819008122885",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21650,FALSE,FALSE,NA,NA
